sourceWidth,sinkWidth,ratio,advectionWeight,diffusionWeight,inputName,stateHash,w0,coherenceLength,coherenceLengthSigma,bandCellsX4,segmentCountX4,meanSegmentWidthX4,bandCellsX8,segmentCountX8,meanSegmentWidthX8,bandCellsX12,segmentCountX12,meanSegmentWidthX12,bandCellsX16,segmentCountX16,meanSegmentWidthX16,bandCellsX20,segmentCountX20,meanSegmentWidthX20,bandCellsX24,segmentCountX24,meanSegmentWidthX24,bandCellsX28,segmentCountX28,meanSegmentWidthX28,bandCellsX32,segmentCountX32,meanSegmentWidthX32,bandCellsX36,segmentCountX36,meanSegmentWidthX36,bandCellsX40,segmentCountX40,meanSegmentWidthX40,bandCellsX44,segmentCountX44,meanSegmentWidthX44,bandCellsX48,segmentCountX48,meanSegmentWidthX48,bandCellsX52,segmentCountX52,meanSegmentWidthX52,bandCellsX56,segmentCountX56,meanSegmentWidthX56,bandCellsX60,segmentCountX60,meanSegmentWidthX60,occupiedPeak,totalCompleted,completionRatio,outOfFieldRatio,densityMax,densityMaxCell,densityMaxExSource,maxStagnation,backflowEvents,criterion2PassCount,criterion2,criterion3Median1TwiceBasisPoints,criterion3Median3TwiceBasisPoints,criterion3Median10TwiceBasisPoints,criterion3,criterion4
1,17,16:1,65536,4096,straight,7df711ba,65536,7,63,1,1,65536,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,0,0,,166,3459708,93,0,4120,4:32,4056,0,0,10,PASS,357,764,1253,PASS,FAIL
1,17,16:1,65536,4096,distributed,70a5bd9d,1966080,63,6,30,1,1966080,31,1,2031616,31,1,2031616,31,1,2031616,31,1,2031616,31,1,2031616,31,1,2031616,32,1,2097152,31,1,2031616,31,1,2031616,32,1,2097152,32,1,2097152,31,1,2031616,31,1,2031616,19,1,1245184,2337,2820950,76,13,4116,4:32,2813,0,0,10,PASS,357,764,1253,PASS,FAIL
1,17,16:1,65536,4096,detour,f2e1c33c,1703936,11,6,47,2,1540096,53,2,1736704,60,1,3932160,61,1,3997696,62,1,4063232,62,1,4063232,60,1,3932160,60,1,3932160,59,1,3866624,61,1,3997696,61,1,3997696,59,1,3866624,59,1,3866624,58,1,3801088,33,2,1081344,3832,2642917,71,13,4116,4:32,2624,0,0,10,PASS,357,764,1253,PASS,FAIL
3,1,4:1,65536,16384,straight,d7c12dff,262144,24,6,3,1,196608,7,2,229376,30,6,327680,36,9,262144,42,6,458752,45,5,589824,47,4,770048,49,2,1605632,50,3,1092266,51,2,1671168,49,1,3211264,52,2,1703936,50,2,1638400,48,2,1572864,35,1,2293760,3671,1333197,36,55,1704,49:32,1704,0,0,9,PASS,551,2118,3070,PASS,FAIL
3,1,4:1,65536,16384,distributed,c12244c2,3604480,63,6,51,4,835584,57,1,3735552,59,1,3866624,59,2,1933312,60,2,1966080,58,1,3801088,57,2,1867776,56,2,1835008,52,1,3407872,52,2,1703936,54,2,1769472,55,1,3604480,55,1,3604480,53,1,3473408,41,2,1343488,4072,1153716,31,56,1737,57:32,1737,0,0,9,PASS,551,2118,3070,PASS,FAIL
3,1,4:1,65536,16384,detour,b6cdd8da,3866624,63,6,56,1,3670016,57,1,3735552,59,2,1933312,61,1,3997696,61,1,3997696,61,1,3997696,60,1,3932160,60,1,3932160,61,1,3997696,59,1,3866624,59,2,1933312,60,1,3932160,59,1,3866624,56,1,3670016,50,2,1638400,4074,774406,21,66,1668,4:31,1276,0,0,9,PASS,551,2118,3070,PASS,FAIL
3,1,16:1,65536,4096,straight,5b78cd0b,196608,47,45,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,26,3,567978,34,1,2228224,37,1,2424832,34,1,2228224,796,1435979,38,53,1788,49:32,1788,0,0,9,PASS,589,1998,2994,PASS,FAIL
3,1,16:1,65536,4096,distributed,4cabf599,4063232,63,6,60,2,1966080,62,1,4063232,63,1,4128768,63,1,4128768,63,1,4128768,63,1,4128768,63,1,4128768,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,63,1,4128768,62,1,4063232,62,1,4063232,59,1,3866624,4054,1181826,32,52,1766,57:32,1766,0,0,9,PASS,589,1998,2994,PASS,FAIL
3,1,16:1,65536,4096,detour,7913d306,4194304,63,6,62,1,4063232,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,62,1,4063232,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,59,1,3866624,4045,800117,21,62,1668,4:31,1284,0,0,9,PASS,589,1998,2994,PASS,FAIL
3,3,4:1,65536,16384,straight,8d71c7e2,196608,55,48,3,1,196608,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,6,2,196608,13,3,283989,15,4,245760,13,2,425984,808,3277841,88,4,1704,49:32,1704,0,0,9,PASS,696,931,2189,PASS,FAIL
