0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869,1308,898,926,1110,797,691,936,658,801,1133,692,741,751,1019,773,875,676,662,1085,663,710,1035,853,719,629,717,1268,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1656,1118,934,1022,827,1284,828,684,774,905,726,683,1063,676,696,1127,662,676,780,847,732,700,785,868,1188,721,1066,874,782,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,858,988,1012,1081,1024,847,765,751,735,816,1034,725,1025,790,692,886,590,863,1020,687,732,816,1132,613,626,910,1034,790,760,764,1127,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972,1142,947,928,1137,1171,928,761,865,914,927,944,952,969,979,1012,1011,1008,1007,1031,1003,1004,1032,1047,1029,1028,1031,1071,1064,1071,1115,1102,805,717,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,884,716,761,854,759,682,635,463,463,463,463,463,463,466,467,467,470,472,473,474,474,476,477,486,491,495,498,503,507,511,516,523,849,785,808,698,880,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,625,685,753,836,705,665,628,596,328,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,148,390,708,780,791,781,902,878,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1137,707,748,680,665,632,601,572,520,460,460,460,460,460,460,460,460,460,460,460,460,459,459,459,459,459,459,459,459,459,459,462,506,621,711,804,789,863,742,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,769,580,860,754,662,639,612,579,547,478,362,419,435,453,471,473,478,471,472,471,471,471,471,472,470,468,468,468,470,471,475,531,646,564,595,661,748,701,755,813,828,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,718,709,674,830,665,634,618,588,556,518,486,437,534,338,349,372,353,378,328,314,413,293,303,294,429,274,266,355,299,338,246,253,202,454,512,564,620,691,731,694,903,721,643,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,691,708,835,628,659,631,615,600,568,528,481,436,392,440,595,409,319,555,392,584,314,317,407,359,295,275,285,315,366,252,253,281,264,241,373,452,511,571,640,689,710,643,685,666,611,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,670,445,721,550,634,628,612,607,584,545,502,471,466,495,380,394,368,447,330,328,315,301,436,290,433,291,266,486,270,260,393,231,235,394,284,356,392,460,524,591,648,684,753,727,1136,760,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,677,795,762,552,609,624,611,595,563,516,450,452,540,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,305,390,327,401,471,540,600,648,690,610,729,627,579,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,616,772,543,647,640,637,631,607,584,538,420,653,391,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,311,310,317,406,483,551,604,652,662,667,641,1063,573,0,0,0,0,0,0,0
0,0,0,0,0,0,0,533,665,585,612,623,648,644,623,587,565,555,590,428,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,248,424,321,381,439,508,563,619,644,644,592,576,578,674,0,0,0,0,0,0
0,0,0,0,0,0,520,554,799,558,624,651,659,643,605,560,545,534,534,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,438,349,377,416,463,519,575,619,632,667,587,907,563,0,0,0,0,0,0
0,0,0,0,0,521,752,524,545,599,645,671,667,631,571,519,504,601,534,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,420,354,373,433,480,535,580,611,646,531,502,601,701,0,0,0,0,0
0,0,0,0,0,540,446,655,474,628,687,692,661,603,522,449,583,484,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,500,350,374,435,488,540,580,619,609,559,558,537,572,0,0,0,0
0,0,0,0,437,463,648,476,653,723,731,695,640,553,529,502,402,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,454,474,391,417,456,507,548,587,596,583,544,638,462,529,0,0,0
0,0,0,457,492,475,486,655,754,779,740,667,597,472,477,461,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,392,389,388,445,481,515,556,576,574,561,475,552,410,0,0,0
0,0,288,338,346,437,627,779,833,799,711,607,532,559,448,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,669,402,389,448,487,526,556,568,566,528,412,502,474,0,0
0,246,219,261,382,571,784,895,872,767,640,530,442,436,637,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,394,436,358,443,495,534,552,561,508,394,380,349,304,0
0,170,186,242,354,728,956,987,856,688,533,412,412,645,458,444,434,525,389,525,410,464,521,371,384,566,391,383,488,528,352,551,370,533,366,383,536,442,378,356,496,385,400,613,492,444,399,418,646,426,408,566,390,429,468,507,536,545,527,477,366,314,353,191
87,160,159,206,632,1028,1144,1011,756,551,387,556,386,407,580,448,670,419,402,458,524,420,354,447,648,381,389,409,487,377,479,395,521,469,381,539,399,394,490,496,358,523,427,422,452,815,427,442,416,463,607,367,495,499,443,481,508,530,527,492,411,289,219,180
64,97,139,72,983,1344,1236,903,552,420,383,332,525,475,568,403,409,439,557,363,412,427,502,354,363,417,488,374,571,362,390,568,383,384,511,413,365,584,369,429,496,350,406,553,453,407,359,411,604,366,406,428,392,422,396,447,482,508,520,0,240,235,196,151
43,56,59,53,2036,1956,1415,942,607,459,461,486,492,542,537,566,563,570,575,571,566,569,576,581,585,587,586,587,587,591,596,600,603,603,603,603,603,604,604,603,603,603,603,604,607,609,614,621,623,620,620,616,616,618,850,1102,1140,1003,841,0,189,227,176,146
32,38,47,75,4044,2079,1204,831,672,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,655,656,883,1300,1527,1452,0,161,176,138,121
21,30,39,24,87,63,47,36,36,36,36,36,36,36,35,36,35,36,35,36,35,34,36,35,35,36,36,35,35,34,34,35,37,38,37,39,40,44,46,47,51,56,60,68,73,87,95,117,146,131,150,176,183,206,219,256,481,924,1250,0,145,172,154,126
